texto,etiqueta
"5 años de experiencia en limpieza hospitalaria, desinfección de quirófanos, manejo de productos químicos y cumplimiento de normas de bioseguridad.","Limpieza"
"3 años como personal de limpieza en clínicas, limpieza de áreas de UCI, uso de maquinaria industrial y protocolos de esterilización.","Limpieza"
"7 años de experiencia en mantenimiento y limpieza de espacios médicos, gestión de residuos hospitalarios y desinfección de equipos.","Limpieza"
"4 años como trabajador de limpieza, manejo de desechos biológicos, limpieza profunda de áreas comunes y uso de equipos de protección.","Limpieza"
"6 años en limpieza hospitalaria, desinfección de salas de emergencia, control de infecciones y manejo de productos ecológicos.","Limpieza"
"2 años de experiencia en limpieza de hospitales, desinfección de superficies críticas, uso de vaporizadores y turnos nocturnos.","Limpieza"
"8 años como especialista en limpieza, esterilización de instrumentos médicos, gestión de residuos y trabajo en equipo.","Limpieza"
"5 años de experiencia en limpieza de consultorios, desinfección de salas de espera, manejo de mopas industriales y protocolos sanitarios.","Limpieza"
"3 años en limpieza hospitalaria, desinfección de áreas postoperatorias, control de plagas y uso de detergentes especializados.","Limpieza"
"7 años como personal de apoyo, limpieza de quirófanos, manejo de equipos de alta presión y cumplimiento de normas ISO.","Limpieza"
"4 años de experiencia en limpieza de clínicas, desinfección de baños médicos, gestión de residuos peligrosos y turnos rotativos.","Limpieza"
"6 años en limpieza de hospitales, esterilización de superficies, uso de aspiradoras industriales y apoyo en emergencias.","Limpieza"
"2 años como limpiador, desinfección de áreas de triaje, manejo de desechos clínicos y formación en bioseguridad.","Limpieza"
"8 años de experiencia en limpieza hospitalaria, desinfección de equipos de diagnóstico, control de olores y trabajo nocturno.","Limpieza"
"5 años como especialista, limpieza de salas de rayos X, manejo de productos químicos y protocolos de seguridad.","Limpieza"
"3 años en limpieza de UCI, desinfección de monitores, gestión de residuos y apoyo a enfermeras.","Limpieza"
"7 años de experiencia en limpieza de quirófanos, esterilización de herramientas, uso de autoclaves y turnos extendidos.","Limpieza"
"4 años como personal de limpieza, desinfección de áreas comunes, manejo de mopas eléctricas y formación en higiene.","Limpieza"
"6 años en limpieza hospitalaria, desinfección de ventiladores, control de infecciones y trabajo en equipo.","Limpieza"
"2 años de experiencia en limpieza de clínicas, desinfección de sillas de ruedas, gestión de residuos y turnos diurnos.","Limpieza"
"8 años como limpiador, esterilización de superficies críticas, uso de productos desinfectantes y apoyo en emergencias.","Limpieza"
"5 años de experiencia en limpieza de hospitales, desinfección de camas médicas, manejo de aspiradoras y protocolos sanitarios.","Limpieza"
"3 años en limpieza de áreas quirúrgicas, desinfección de mesas operativas, control de olores y formación continua.","Limpieza"
"7 años como especialista, limpieza de salas de recuperación, gestión de residuos biológicos y uso de EPIs.","Limpieza"
"4 años de experiencia en limpieza hospitalaria, desinfección de pasillos, manejo de carros de limpieza y turnos rotativos.","Limpieza"
"6 años en limpieza de clínicas, esterilización de equipos menores, control de plagas y apoyo logístico.","Limpieza"
"2 años como personal de limpieza, desinfección de áreas de espera, manejo de desechos y formación en seguridad.","Limpieza"
"8 años de experiencia en limpieza de UCI, desinfección de monitores, gestión de residuos y trabajo nocturno.","Limpieza"
"5 años como limpiador, limpieza de quirófanos, uso de vaporizadores y cumplimiento de normas de higiene.","Limpieza"
"3 años en limpieza hospitalaria, desinfección de baños médicos, manejo de productos químicos y turnos extendidos.","Limpieza"
"7 años de experiencia en limpieza de salas de emergencia, esterilización de superficies, control de infecciones y apoyo.","Limpieza"
"4 años como especialista, limpieza de áreas postoperatorias, gestión de residuos y uso de maquinaria industrial.","Limpieza"
"6 años en limpieza de consultorios, desinfección de sillas dentales, manejo de desechos y formación en bioseguridad.","Limpieza"
"2 años de experiencia en limpieza de hospitales, desinfección de camillas, uso de mopas y turnos diurnos.","Limpieza"
"8 años como personal de limpieza, esterilización de instrumentos, control de olores y trabajo en equipo.","Limpieza"
"5 años de experiencia en limpieza de clínicas, desinfección de áreas críticas, manejo de aspiradoras y protocolos sanitarios.","Limpieza"
"3 años en limpieza de quirófanos, desinfección de mesas, gestión de residuos peligrosos y apoyo logístico.","Limpieza"
"7 años como limpiador, limpieza de salas de rayos X, uso de productos desinfectantes y turnos rotativos.","Limpieza"
"4 años de experiencia en limpieza hospitalaria, desinfección de ventiladores, control de plagas y formación continua.","Limpieza"
"6 años en limpieza de UCI, esterilización de equipos, manejo de desechos clínicos y trabajo nocturno.","Limpieza"
"2 años como especialista, limpieza de áreas de triaje, desinfección de superficies y apoyo a enfermeras.","Limpieza"
"8 años de experiencia en limpieza de hospitales, desinfección de pasillos, uso de carros de limpieza y protocolos de seguridad.","Limpieza"
"5 años como personal de limpieza, esterilización de herramientas, gestión de residuos y turnos extendidos.","Limpieza"
"3 años en limpieza de clínicas, desinfección de baños, manejo de productos ecológicos y formación en higiene.","Limpieza"
"7 años de experiencia en limpieza de salas de recuperación, desinfección de camas, control de infecciones y apoyo.","Limpieza"
"4 años como limpiador, limpieza de áreas quirúrgicas, uso de autoclaves y cumplimiento de normas ISO.","Limpieza"
"6 años en limpieza hospitalaria, desinfección de monitores, gestión de residuos biológicos y trabajo en equipo.","Limpieza"
"2 años de experiencia en limpieza de consultorios, esterilización de sillas, manejo de desechos y turnos diurnos.","Limpieza"
"8 años como especialista, limpieza de salas de emergencia, desinfección de equipos y apoyo logístico.","Limpieza"
"5 años de experiencia en limpieza de UCI, desinfección de ventiladores, control de olores y formación continua.","Limpieza"
"3 años en limpieza de hospitales, esterilización de superficies, manejo de productos químicos y turnos rotativos.","Limpieza"
"7 años como personal de limpieza, desinfección de áreas postoperatorias, gestión de residuos y uso de EPIs.","Limpieza"
"4 años de experiencia en limpieza de clínicas, limpieza profunda de pasillos, uso de vaporizadores y protocolos sanitarios.","Limpieza"
"6 años en limpieza de quirófanos, desinfección de mesas operativas, control de plagas y apoyo a cirujanos.","Limpieza"
"2 años como limpiador, limpieza de salas de espera, manejo de aspiradoras y formación en bioseguridad.","Limpieza"
"8 años de experiencia en limpieza hospitalaria, esterilización de instrumentos, gestión de desechos y turnos nocturnos.","Limpieza"
"5 años como especialista, desinfección de áreas críticas, uso de maquinaria industrial y cumplimiento de normas.","Limpieza"
"3 años en limpieza de UCI, limpieza de monitores, manejo de residuos peligrosos y trabajo en equipo.","Limpieza"
"7 años de experiencia en limpieza de consultorios, desinfección de sillas dentales, control de infecciones y apoyo.","Limpieza"
"4 años como personal de limpieza, limpieza de camillas, uso de productos desinfectantes y turnos extendidos.","Limpieza"
"6 años en limpieza de hospitales, desinfección de pasillos, gestión de residuos y formación continua.","Limpieza"
"2 años de experiencia en limpieza de clínicas, esterilización de superficies, manejo de mopas y protocolos de seguridad.","Limpieza"
"8 años como limpiador, desinfección de áreas de triaje, uso de carros de limpieza y apoyo logístico.","Limpieza"
"5 años de experiencia en limpieza de quirófanos, limpieza de mesas, control de olores y turnos rotativos.","Limpieza"
"3 años en limpieza de salas de recuperación, desinfección de camas, manejo de desechos y formación en higiene.","Limpieza"
"7 años como especialista, limpieza de áreas postoperatorias, uso de autoclaves y cumplimiento de normas ISO.","Limpieza"
"4 años de experiencia en limpieza hospitalaria, desinfección de ventiladores, gestión de residuos biológicos y trabajo nocturno.","Limpieza"
"6 años en limpieza de UCI, esterilización de equipos, control de plagas y apoyo a enfermeras.","Limpieza"
"2 años como personal de limpieza, desinfección de sillas de ruedas, manejo de productos ecológicos y turnos diurnos.","Limpieza"
"8 años de experiencia en limpieza de hospitales, limpieza profunda de pasillos, uso de vaporizadores y protocolos sanitarios.","Limpieza"
"5 años como limpiador, desinfección de áreas quirúrgicas, gestión de residuos y apoyo a cirujanos.","Limpieza"
"3 años en limpieza de clínicas, esterilización de instrumentos, control de infecciones y formación continua.","Limpieza"
"7 años de experiencia en limpieza de salas de emergencia, desinfección de equipos, manejo de desechos y turnos extendidos.","Limpieza"
"4 años como especialista, limpieza de áreas de espera, uso de aspiradoras y cumplimiento de normas de bioseguridad.","Limpieza"
"6 años en limpieza hospitalaria, desinfección de monitores, gestión de residuos peligrosos y trabajo en equipo.","Limpieza"
"2 años de experiencia en limpieza de consultorios, limpieza de sillas dentales, control de olores y apoyo logístico.","Limpieza"
"8 años como personal de limpieza, esterilización de superficies críticas, manejo de productos químicos y turnos nocturnos.","Limpieza"
"5 años de experiencia en limpieza de UCI, desinfección de ventiladores, uso de maquinaria industrial y formación en higiene.","Limpieza"
"3 años en limpieza de quirófanos, desinfección de mesas operativas, gestión de residuos y apoyo a enfermeras.","Limpieza"
"7 años como limpiador, limpieza de salas de rayos X, manejo de desechos clínicos y turnos rotativos.","Limpieza"
"4 años de experiencia en limpieza de hospitales, esterilización de camillas, control de plagas y protocolos de seguridad.","Limpieza"
"6 años en limpieza de clínicas, desinfección de baños médicos, uso de productos desinfectantes y formación continua.","Limpieza"
"2 años como especialista, limpieza de áreas de triaje, manejo de aspiradoras y apoyo logístico.","Limpieza"
"8 años de experiencia en limpieza hospitalaria, desinfección de pasillos, gestión de residuos biológicos y turnos extendidos.","Limpieza"
"5 años como personal de limpieza, limpieza de salas de recuperación, uso de vaporizadores y cumplimiento de normas.","Limpieza"
"3 años en limpieza de UCI, esterilización de equipos, control de infecciones y trabajo nocturno.","Limpieza"
"7 años de experiencia en limpieza de consultorios, desinfección de sillas, manejo de desechos y apoyo a dentistas.","Limpieza"
"4 años como limpiador, limpieza de áreas quirúrgicas, uso de autoclaves y formación en bioseguridad.","Limpieza"
"6 años en limpieza de hospitales, desinfección de camillas, gestión de residuos y turnos diurnos.","Limpieza"
"2 años de experiencia en limpieza de clínicas, esterilización de superficies, control de olores y apoyo en emergencias.","Limpieza"
"8 años como especialista, limpieza de salas de emergencia, manejo de productos químicos y protocolos sanitarios.","Limpieza"
"5 años de experiencia en limpieza de quirófanos, desinfección de mesas, uso de EPIs y trabajo en equipo.","Limpieza"
"3 años en limpieza hospitalaria, limpieza profunda de pasillos, gestión de residuos y formación continua.","Limpieza"
"7 años como personal de limpieza, desinfección de áreas postoperatorias, control de plagas y turnos rotativos.","Limpieza"
"4 años de experiencia en limpieza de UCI, esterilización de monitores, manejo de desechos y apoyo logístico.","Limpieza"
"6 años en limpieza de consultorios, desinfección de sillas dentales, uso de vaporizadores y cumplimiento de normas.","Limpieza"
"2 años como limpiador, limpieza de salas de espera, gestión de residuos biológicos y formación en higiene.","Limpieza"
"8 años de experiencia en limpieza hospitalaria, desinfección de ventiladores, control de infecciones y turnos nocturnos.","Limpieza"
"5 años como especialista, limpieza de áreas críticas, manejo de aspiradoras y apoyo a enfermeras.","Limpieza"
"3 años en limpieza de quirófanos, esterilización de herramientas, uso de productos desinfectantes y turnos extendidos.","Limpieza"
"7 años de experiencia en limpieza de salas de recuperación, desinfección de camas, gestión de residuos y trabajo en equipo.","Limpieza"
"4 años como personal de limpieza, limpieza de pasillos, control de olores y formación en bioseguridad.","Limpieza"
"6 años en limpieza de hospitales, desinfección de sillas de ruedas, manejo de productos ecológicos y apoyo logístico.","Limpieza"
"2 años de experiencia en limpieza de clínicas, esterilización de superficies, uso de mopas y turnos diurnos.","Limpieza"
"8 años como limpiador, limpieza de áreas de triaje, gestión de desechos y cumplimiento de normas ISO.","Limpieza"
"5 años de experiencia en limpieza de UCI, desinfección de equipos, control de plagas y formación continua.","Limpieza"
"3 años en limpieza hospitalaria, limpieza de monitores, manejo de residuos peligrosos y trabajo nocturno.","Limpieza"
"7 años como especialista, desinfección de salas de emergencia, uso de maquinaria industrial y apoyo a cirujanos.","Limpieza"
"4 años de experiencia en limpieza de consultorios, esterilización de sillas, control de infecciones y turnos rotativos.","Limpieza"
"6 años en limpieza de quirófanos, desinfección de mesas operativas, gestión de residuos y formación en higiene.","Limpieza"
"2 años como personal de limpieza, limpieza de camillas, manejo de productos químicos y apoyo logístico.","Limpieza"
"8 años de experiencia en limpieza hospitalaria, desinfección de pasillos, uso de vaporizadores y protocolos sanitarios.","Limpieza"
"9 años de experiencia en limpieza hospitalaria, desinfección de áreas quirúrgicas, manejo de residuos biológicos y uso de equipos de alta presión.","Limpieza"
"4 años como especialista en limpieza de UCI, esterilización de monitores, control de infecciones y turnos nocturnos.","Limpieza"
"6 años en limpieza de consultorios, desinfección de sillas dentales, gestión de desechos y formación en bioseguridad.","Limpieza"
"3 años de experiencia en limpieza de salas de emergencia, desinfección de equipos, uso de vaporizadores y apoyo logístico.","Limpieza"
"8 años como personal de limpieza, limpieza de pasillos hospitalarios, manejo de productos químicos y protocolos sanitarios.","Limpieza"
"5 años en limpieza de quirófanos, esterilización de mesas operativas, control de olores y trabajo en equipo.","Limpieza"
"7 años de experiencia en limpieza de clínicas, desinfección de baños médicos, gestión de residuos peligrosos y turnos rotativos.","Limpieza"
"2 años como limpiador, limpieza de áreas de triaje, manejo de aspiradoras y cumplimiento de normas ISO.","Limpieza"
"10 años de experiencia en limpieza hospitalaria, desinfección de camillas, uso de mopas industriales y formación continua.","Limpieza"
"6 años como especialista, limpieza de salas de recuperación, gestión de residuos y apoyo a enfermeras.","Limpieza"
"4 años en limpieza de UCI, desinfección de ventiladores, control de plagas y uso de equipos de protección.","Limpieza"
"8 años de experiencia en limpieza de hospitales, esterilización de instrumentos, manejo de desechos clínicos y turnos extendidos.","Limpieza"
"5 años como personal de limpieza, desinfección de sillas de ruedas, uso de productos ecológicos y turnos diurnos.","Limpieza"
"7 años en limpieza de quirófanos, limpieza de mesas, control de infecciones y formación en higiene.","Limpieza"
"3 años de experiencia en limpieza de áreas postoperatorias, desinfección de superficies, manejo de autoclaves y apoyo logístico.","Limpieza"
"9 años como limpiador, limpieza de salas de rayos X, gestión de residuos biológicos y trabajo nocturno.","Limpieza"
"6 años de experiencia en limpieza de consultorios, desinfección de herramientas, uso de vaporizadores y protocolos de seguridad.","Limpieza"
"4 años en limpieza hospitalaria, esterilización de camas, control de olores y apoyo a cirujanos.","Limpieza"
"8 años como especialista, limpieza de áreas críticas, manejo de residuos peligrosos y turnos rotativos.","Limpieza"
"5 años en limpieza de UCI, desinfección de monitores, gestión de desechos y formación continua.","Limpieza"
"7 años de experiencia en limpieza de salas de emergencia, limpieza profunda de pasillos, uso de productos desinfectantes y apoyo.","Limpieza"
"3 años como personal de limpieza, desinfección de ventiladores, control de plagas y trabajo en equipo.","Limpieza"
"10 años en limpieza de hospitales, esterilización de equipos, manejo de aspiradoras y cumplimiento de normas sanitarias.","Limpieza"
"6 años como limpiador, limpieza de áreas de espera, gestión de residuos y turnos diurnos.","Limpieza"
"4 años de experiencia en limpieza de clínicas, desinfección de baños, uso de maquinaria industrial y formación en bioseguridad.","Limpieza"
"8 años como especialista, limpieza de quirófanos, desinfección de mesas operativas, control de infecciones y apoyo logístico.","Limpieza"
"5 años en limpieza de UCI, esterilización de superficies, manejo de productos químicos y turnos nocturnos.","Limpieza"
"7 años de experiencia en limpieza hospitalaria, desinfección de camillas, uso de EPIs y trabajo en equipo.","Limpieza"
"3 años como personal de limpieza, limpieza de pasillos, gestión de residuos biológicos y formación continua.","Limpieza"
"9 años en limpieza de consultorios, desinfección de sillas dentales, control de olores y turnos rotativos.","Limpieza"
"6 años de experiencia en limpieza de salas de recuperación, desinfección de equipos, manejo de desechos y apoyo a enfermeras.","Limpieza"
"4 años como limpiador, limpieza de áreas quirúrgicas, uso de vaporizadores y cumplimiento de normas ISO.","Limpieza"
"8 años en limpieza de hospitales, esterilización de instrumentos, control de plagas y formación en higiene.","Limpieza"
"5 años como especialista, desinfección de áreas postoperatorias, gestión de residuos y turnos extendidos.","Limpieza"
"7 años de experiencia en limpieza de UCI, limpieza de monitores, manejo de productos ecológicos y apoyo logístico.","Limpieza"
"3 años en limpieza de quirófanos, desinfección de mesas, uso de autoclaves y trabajo nocturno.","Limpieza"
"10 años como personal de limpieza, limpieza de salas de rayos X, control de infecciones y turnos diurnos.","Limpieza"
"6 años de experiencia en limpieza de clínicas, desinfección de sillas de ruedas, gestión de residuos y formación continua.","Limpieza"
"4 años como limpiador, limpieza de áreas de triaje, manejo de aspiradoras y protocolos sanitarios.","Limpieza"
"8 años en limpieza hospitalaria, desinfección de ventiladores, uso de productos desinfectantes y apoyo a cirujanos.","Limpieza"
"5 años como especialista, limpieza de pasillos, control de olores y trabajo en equipo.","Limpieza"
"7 años de experiencia en limpieza de salas de emergencia, esterilización de superficies, manejo de desechos y turnos rotativos.","Limpieza"
"3 años en limpieza de UCI, desinfección de equipos, gestión de residuos peligrosos y formación en bioseguridad.","Limpieza"
"9 años como personal de limpieza, limpieza de camillas, uso de maquinaria industrial y cumplimiento de normas.","Limpieza"
"6 años de experiencia en limpieza de consultorios, desinfección de herramientas, control de plagas y apoyo logístico.","Limpieza"
"4 años como limpiador, limpieza de áreas críticas, manejo de vaporizadores y turnos nocturnos.","Limpieza"
"8 años en limpieza de hospitales, esterilización de sillas de ruedas, gestión de residuos biológicos y formación continua.","Limpieza"
"5 años como especialista, desinfección de baños médicos, uso de productos químicos y trabajo en equipo.","Limpieza"
"7 años de experiencia en limpieza de quirófanos, limpieza de mesas operativas, control de infecciones y apoyo a enfermeras.","Limpieza"
"3 años en limpieza de salas de recuperación, desinfección de camas, manejo de desechos y turnos extendidos.","Limpieza"
"10 años como personal de limpieza, limpieza de pasillos hospitalarios, uso de EPIs y formación en higiene.","Limpieza"
"6 años de experiencia en limpieza de UCI, esterilización de monitores, control de olores y apoyo logístico.","Limpieza"
"4 años como limpiador, desinfección de áreas de triaje, gestión de residuos y turnos diurnos.","Limpieza"
"8 años en limpieza de consultorios, desinfección de sillas dentales, manejo de aspiradoras y protocolos sanitarios.","Limpieza"
"5 años como especialista, limpieza de salas de emergencia, uso de productos desinfectantes y trabajo nocturno.","Limpieza"
"7 años de experiencia en limpieza hospitalaria, desinfección de ventiladores, control de plagas y formación continua.","Limpieza"
"3 años en limpieza de quirófanos, esterilización de herramientas, manejo de residuos peligrosos y apoyo a cirujanos.","Limpieza"
"9 años como personal de limpieza, limpieza de camillas, gestión de desechos biológicos y turnos rotativos.","Limpieza"
"6 años de experiencia en limpieza de clínicas, desinfección de baños, uso de maquinaria industrial y cumplimiento de normas.","Limpieza"
"4 años como limpiador, limpieza de áreas postoperatorias, control de infecciones y trabajo en equipo.","Limpieza"
"8 años en limpieza de UCI, desinfección de equipos, manejo de vaporizadores y formación en bioseguridad.","Limpieza"
"5 años como especialista, limpieza de pasillos, uso de productos ecológicos y apoyo logístico.","Limpieza"
"7 años de experiencia en limpieza de salas de rayos X, esterilización de superficies, gestión de residuos y turnos extendidos.","Limpieza"
"3 años en limpieza hospitalaria, desinfección de sillas de ruedas, control de olores y formación continua.","Limpieza"
"10 años como personal de limpieza, limpieza de áreas quirúrgicas, manejo de autoclaves y protocolos sanitarios.","Limpieza"
"6 años de experiencia en limpieza de consultorios, desinfección de herramientas, uso de EPIs y trabajo nocturno.","Limpieza"
"4 años como limpiador, limpieza de salas de recuperación, gestión de residuos biológicos y apoyo a enfermeras.","Limpieza"
"8 años en limpieza de hospitales, desinfección de monitores, control de plagas y formación en higiene.","Limpieza"
"5 años como especialista, limpieza de áreas de espera, manejo de aspiradoras y turnos diurnos.","Limpieza"
"7 años de experiencia en limpieza de quirófanos, desinfección de mesas operativas, uso de productos desinfectantes y apoyo logístico.","Limpieza"
"3 años en limpieza de UCI, esterilización de ventiladores, gestión de desechos y trabajo en equipo.","Limpieza"
"9 años como personal de limpieza, limpieza de pasillos hospitalarios, control de infecciones y formación continua.","Limpieza"
"6 años de experiencia en limpieza de clínicas, desinfección de baños médicos, manejo de residuos y turnos rotativos.","Limpieza"
"4 años como limpiador, limpieza de áreas críticas, uso de vaporizadores y cumplimiento de normas ISO.","Limpieza"
"8 años en limpieza hospitalaria, esterilización de camillas, gestión de residuos peligrosos y apoyo a cirujanos.","Limpieza"
"5 años como especialista, desinfección de salas de emergencia, control de olores y trabajo nocturno.","Limpieza"
"7 años de experiencia en limpieza de UCI, limpieza de monitores, manejo de productos químicos y formación en bioseguridad.","Limpieza"
"3 años en limpieza de quirófanos, desinfección de mesas, uso de autoclaves y turnos extendidos.","Limpieza"
"10 años como personal de limpieza, limpieza de sillas de ruedas, gestión de desechos y apoyo logístico.","Limpieza"
"6 años de experiencia en limpieza de consultorios, esterilización de sillas dentales, control de plagas y protocolos sanitarios.","Limpieza"
"4 años como limpiador, desinfección de áreas postoperatorias, manejo de aspiradoras y formación continua.","Limpieza"
"8 años en limpieza de hospitales, desinfección de ventiladores, uso de productos ecológicos y trabajo en equipo.","Limpieza"
"5 años como especialista, limpieza de pasillos, gestión de residuos biológicos y turnos diurnos.","Limpieza"
"7 años de experiencia en limpieza de salas de recuperación, desinfección de camas, control de infecciones y apoyo.","Limpieza"
"3 años en limpieza de UCI, esterilización de equipos, manejo de desechos y formación en higiene.","Limpieza"
"9 años como personal de limpieza, limpieza de áreas quirúrgicas, uso de EPIs y turnos rotativos.","Limpieza"
"6 años de experiencia en limpieza hospitalaria, desinfección de monitores, control de olores y trabajo nocturno.","Limpieza"
"9 años de experiencia en limpieza de áreas de radiología, desinfección de equipos de imagen, manejo de residuos radiactivos y protocolos de seguridad especial.","Limpieza"
